Country,Density(P/Km2),Armed Forces,GDP,Labor force participation(%),Unemployment rate,Total tax rate,CPI,Self-paid Health,Birth Rate,Forested Area(%),Agricultural Land(%),Primary educ. enr.(%)
Lithuania,43.0,34000.0,54219315600.0,61.6,6.35,42.6,118.38,32.1,10.0,34.8,47.2,103.9
Luxembourg,242.0,2000.0,71104919108.0,59.3,5.36,20.4,115.09,10.6,10.3,35.7,53.7,102.3
Madagascar,48.0,22000.0,14083906357.0,86.1,1.76,38.3,184.33,21.7,32.66,21.4,71.2,142.5
Malawi,203.0,15000.0,7666704427.0,76.7,5.65,34.5,418.34,11.0,34.12,33.2,61.4,142.5
Malaysia,99.0,136000.0,364701517788.0,64.3,3.32,38.7,121.46,36.7,16.75,67.6,26.3,105.3
Maldives,1802.0,5000.0,5729248472.0,69.8,6.14,30.2,99.7,16.4,14.2,3.3,26.3,97.1
Mali,17.0,18000.0,17510141171.0,70.8,7.22,54.5,108.73,46.3,41.54,3.8,33.8,75.6
Malta,1380.0,2000.0,14786156563.0,56.5,3.47,44.0,113.45,37.1,9.2,1.1,32.4,105.0
Mauritania,5.0,21000.0,7593752450.0,45.9,9.55,67.0,135.02,48.2,33.69,0.2,38.5,99.9
Mauritius,626.0,3000.0,14180444557.0,58.3,6.67,22.2,129.91,50.7,10.2,19.0,42.4,101.1
Mexico,66.0,336000.0,1258286717125.0,60.7,3.42,55.1,141.54,41.4,17.6,33.9,54.6,105.8
Moldova,123.0,7000.0,11955435457.0,43.1,5.47,38.7,166.2,46.2,10.1,12.6,74.2,90.6
Mongolia,2.0,18000.0,13852850259.0,59.7,6.01,25.7,195.76,39.3,24.13,8.0,71.5,104.0
Montenegro,47.0,12000.0,5494736901.0,54.4,14.88,22.2,116.32,31.8,11.73,61.5,19.0,100.0
Morocco,83.0,246000.0,118725279596.0,45.3,9.02,45.8,111.07,53.1,18.94,12.6,68.5,113.9
Mozambique,40.0,11000.0,14934159926.0,78.1,3.24,36.1,182.31,6.8,37.52,48.0,63.5,112.6
Myanmar,83.0,513000.0,76085852617.0,61.7,1.58,31.2,168.18,73.9,17.55,43.6,19.5,112.3
Namibia,3.0,16000.0,12366527719.0,59.5,20.27,20.7,157.97,8.3,28.64,8.3,47.1,124.2
Nepal,203.0,112000.0,30641380604.0,83.8,1.41,41.8,188.73,60.4,19.89,25.4,28.7,142.1
Netherlands,508.0,41000.0,909070395161.0,63.6,3.2,41.2,115.91,12.3,9.7,11.2,53.3,104.2
New Zealand,18.0,9000.0,206928765544.0,69.9,4.07,34.6,114.24,12.6,11.98,38.6,40.5,100.0
Nicaragua,55.0,12000.0,12520915291.0,66.4,6.84,60.6,162.74,36.0,20.64,25.9,42.1,120.6
Niger,19.0,10000.0,12928145120.0,72.0,0.47,47.2,109.32,52.3,46.08,0.9,36.1,74.7
Nigeria,226.0,215000.0,448120428859.0,52.9,8.1,34.8,267.51,72.2,37.91,7.2,77.7,84.7
Norway,15.0,23000.0,403336363636.0,63.8,3.35,36.2,120.27,14.3,10.4,33.2,2.7,100.3
Oman,16.0,47000.0,76983094928.0,72.4,2.67,27.4,113.53,6.4,19.19,0.0,4.6,103.4
Pakistan,287.0,936000.0,304400000000.0,52.6,4.45,33.9,182.32,66.5,28.25,1.9,47.8,94.3
Panama,58.0,26000.0,66800800000.0,66.6,3.9,37.2,122.07,30.5,18.98,61.9,30.4,94.4
Papua New Guinea,20.0,4000.0,24969611435.0,47.2,2.46,37.1,155.99,5.8,27.07,74.1,2.6,108.5
Paraguay,18.0,27000.0,38145288940.0,72.1,4.81,35.0,143.82,36.5,20.57,37.7,55.1,104.4
Peru,26.0,158000.0,226848050820.0,77.6,3.31,36.8,129.78,30.9,17.95,57.7,18.5,106.9
Philippines,368.0,153000.0,376795508680.0,59.6,2.15,43.1,129.61,53.5,20.55,27.8,41.7,107.5
Poland,124.0,191000.0,592164400688.0,56.7,3.47,40.8,114.11,23.2,10.2,30.9,46.9,100.0
Portugal,111.0,52000.0,237686075635.0,58.8,6.33,39.8,110.62,27.7,8.5,34.6,39.5,106.2
Qatar,248.0,22000.0,183466208791.0,86.8,0.09,11.3,115.38,6.2,9.54,0.0,5.8,103.8
Romania,84.0,126000.0,250077444017.0,54.7,3.98,20.0,123.78,21.3,9.6,30.1,58.8,85.2
Russia,9.0,1454000.0,1699876578871.0,61.8,4.59,46.2,180.75,36.4,11.5,49.8,13.3,102.6
Rwanda,525.0,35000.0,10122472590.0,83.7,1.03,33.2,151.09,26.0,31.7,19.7,73.4,133.0
São Tomé e Príncipe,228.0,1000.0,429016605.0,57.8,13.37,37.0,185.09,11.7,31.54,55.8,50.7,106.8
Saudi Arabia,16.0,252000.0,792966838162.0,55.9,5.93,15.7,118.4,15.0,17.8,0.5,80.8,99.8
Senegal,87.0,19000.0,23578084052.0,45.7,6.6,44.8,109.25,44.2,34.52,42.8,46.1,81.0
Serbia,100.0,32000.0,51409167351.0,54.9,12.69,36.6,144.0,40.6,9.2,31.1,39.3,100.3
Sierra Leone,111.0,9000.0,3941474311.0,57.9,4.43,30.7,234.16,38.2,33.41,43.1,54.7,112.8
Singapore,8358.0,81000.0,372062527489.0,70.5,4.11,21.0,114.41,36.7,8.8,23.1,0.9,100.6
Slovakia,114.0,16000.0,105422304976.0,59.5,5.56,49.7,115.34,18.4,10.6,40.4,39.2,98.7
Slovenia,103.0,7000.0,53742159517.0,58.4,4.2,31.0,111.05,12.5,9.4,62.0,30.7,100.4
South Africa,49.0,80000.0,351431649241.0,56.0,28.18,29.2,158.93,7.7,20.51,7.6,79.8,100.9
South Korea,527.0,634000.0,2029000000000.0,63.0,4.15,33.2,115.16,36.8,6.4,63.4,17.4,98.1
Spain,94.0,196000.0,1394116310769.0,57.5,13.96,47.0,110.96,24.2,7.9,36.9,52.6,102.7
Sri Lanka,341.0,317000.0,84008783756.0,53.9,4.2,55.2,155.53,38.4,15.83,32.9,43.7,100.2
Sudan,25.0,124000.0,18902284476.0,48.4,16.53,45.4,1344.19,63.2,32.18,8.1,28.7,76.8
Suriname,4.0,2000.0,3985250737.0,51.1,7.33,27.9,294.66,10.1,18.54,98.3,0.6,108.8
Sweden,25.0,30000.0,530832908738.0,64.6,6.48,49.1,110.51,15.2,11.4,68.9,7.4,126.6
Switzerland,219.0,21000.0,703082435360.0,68.3,4.58,28.8,99.55,28.3,10.0,31.8,38.4,105.2
Syria,95.0,239000.0,40405006007.0,44.1,8.37,42.7,143.2,53.7,23.69,2.7,75.8,81.7
Tajikistan,68.0,17000.0,8116626794.0,42.0,11.02,67.3,148.57,63.1,30.76,3.0,34.1,100.9
Tanzania,67.0,28000.0,63177068175.0,83.4,1.98,43.8,187.43,26.1,36.7,51.6,44.8,94.2
Thailand,137.0,455000.0,543649976166.0,67.3,0.75,29.5,113.27,11.8,10.34,32.2,43.3,99.8
East Timor,89.0,2000.0,1673540300.0,67.3,4.55,17.3,145.38,10.2,29.42,45.4,25.6,115.3
Togo,152.0,10000.0,5459979417.0,77.6,2.04,48.2,113.3,51.0,33.11,3.1,70.2,123.8
Trinidad and Tobago,273.0,4000.0,24100202834.0,60.0,2.69,40.5,141.75,37.3,12.94,46.0,10.5,106.2
Tunisia,76.0,48000.0,38797709924.0,46.1,16.02,60.7,155.33,39.8,17.56,6.8,64.8,115.4
Turkey,110.0,512000.0,754411708203.0,52.8,13.49,42.3,234.44,16.9,16.03,15.4,49.8,93.2
Uganda,229.0,46000.0,34387229486.0,70.3,1.84,33.7,173.87,40.5,38.14,9.7,71.9,102.7
Ukraine,75.0,297000.0,153781069118.0,54.2,8.88,45.2,281.66,47.8,8.7,16.7,71.7,99.0
United Arab Emirates,118.0,63000.0,421142267938.0,82.1,2.35,15.9,114.52,17.8,10.33,4.6,5.5,108.4
United Kingdom,281.0,148000.0,2827113184696.0,62.8,3.85,30.6,119.62,14.8,11.0,13.1,71.7,101.2
United States,36.0,1359000.0,21427700000000.0,62.0,14.7,36.6,117.24,11.1,11.6,33.9,44.4,101.8
Uruguay,20.0,22000.0,56045912952.0,64.0,8.73,41.8,202.92,16.2,13.86,10.7,82.6,108.5
Venezuela,32.0,343000.0,482359318768.0,59.7,8.8,73.3,2740.27,45.8,17.88,52.7,24.5,97.2
Vietnam,314.0,522000.0,261921244843.0,77.4,2.01,37.6,163.52,43.5,16.75,48.1,39.3,110.6
Yemen,56.0,40000.0,26914402224.0,38.0,12.91,26.6,157.58,81.0,30.45,1.0,44.6,93.6
Zambia,25.0,16000.0,23064722446.0,74.6,11.43,15.6,212.31,27.5,36.19,65.2,32.1,98.7
Zimbabwe,38.0,51000.0,21440758800.0,83.1,4.95,31.6,105.51,25.8,30.68,35.5,41.9,109.9
